level,date,fully_qualified_classname,change_type
10,2011-02-09 00:00:00,android.test.mock.MockPackageManager,3
10,2011-02-09 00:00:00,android.speech.RecognizerResultsIntent,1
10,2011-02-09 00:00:00,android.graphics.BitmapFactory.Options,3
10,2011-02-09 00:00:00,android.nfc.NfcAdapter,3
10,2011-02-09 00:00:00,android.media.MediaRecorder.OutputFormat,3
10,2011-02-09 00:00:00,android.os.Build.VERSION_CODES,3
10,2011-02-09 00:00:00,android.bluetooth.BluetoothAdapter,3
10,2011-02-09 00:00:00,android.nfc.Tag,1
10,2011-02-09 00:00:00,android.graphics.BitmapRegionDecoder,1
10,2011-02-09 00:00:00,android.media.MediaMetadataRetriever,1
10,2011-02-09 00:00:00,android.bluetooth.BluetoothDevice,3
10,2011-02-09 00:00:00,android.media.MediaRecorder.AudioEncoder,3
10,2011-02-09 00:00:00,android.nfc.NfcManager,1
10,2011-02-09 00:00:00,android.content.Context,3
10,2011-02-09 00:00:00,android.nfc.TagLostException,1
11,2011-02-22 00:00:00,android.provider.ContactsContract.Contacts.AggregationSuggestions,3
11,2011-02-22 00:00:00,android.content.AsyncTaskLoader,1
11,2011-02-22 00:00:00,android.content.ClipboardManager,1
11,2011-02-22 00:00:00,android.app.DownloadManager.Request,3
11,2011-02-22 00:00:00,android.text.ClipboardManager,3
11,2011-02-22 00:00:00,android.widget.RemoteViews,3
11,2011-02-22 00:00:00,android.app.PendingIntent,3
11,2011-02-22 00:00:00,java.util.Deque,3
11,2011-02-22 00:00:00,android.database.sqlite.SQLiteDatabaseLockedException,1
11,2011-02-22 00:00:00,android.provider.ContactsContract.Contacts.Photo,3
11,2011-02-22 00:00:00,android.content.pm.ApplicationInfo,3
11,2011-02-22 00:00:00,android.content.ContentProviderClient,3
11,2011-02-22 00:00:00,android.content.SyncInfo,3
11,2011-02-22 00:00:00,android.os.BatteryManager,3
11,2011-02-22 00:00:00,android.preference.PreferenceFragment.OnPreferenceStartFragmentCallback,1
11,2011-02-22 00:00:00,android.content.ContentProvider,3
11,2011-02-22 00:00:00,android.content.SharedPreferences.Editor,3
